,symbol,start_date,div_amount,start_price,end_price
0,AAT,6/12/17,0.26,41.08,40.94
1,AAT,9/12/17,0.26,40.3,40.12
2,AAT,12/5/17,0.27,38.75,38.59
3,AAT,3/13/18,0.27,33.14,32.99
4,AAT,6/12/18,0.27,37.58,37.42
5,AAT,9/11/18,0.27,38.91,38.64
6,AAT,12/11/18,0.28,41.92,41.92
7,AAT,3/12/19,0.28,45.79,45.54
8,AAT,6/11/19,0.28,45.35,45.05
9,AAT,9/10/19,0.28,47.43,47.08
10,AAT,12/10/19,0.3,47.36,47.14
11,AAT,3/10/20,0.3,38.77,37.54
12,AB,5/3/17,0.46,21.45,20.9
13,AB,8/2/17,0.49,24.8,24.1
14,AB,11/2/17,0.51,26.05,25.65
15,AB,2/21/18,0.84,27.85,27.2
16,AB,5/3/18,0.73,26.9,26.5
17,AB,8/2/18,0.62,28.3,27.7
18,AB,11/1/18,0.69,29.16,28.75
19,AB,2/21/19,0.64,30.47,29.61
20,AB,5/2/19,0.49,29.5,29.01
21,AB,8/1/19,0.56,29.41,28.91
22,AB,10/31/19,0.63,29.36,28.86
23,AB,2/20/20,0.85,35.82,34.75
24,ABBV,4/10/17,0.64,64.97,64.43
25,ABBV,7/11/17,0.64,71.84,71.51
26,ABBV,10/11/17,0.64,92.38,91.77
27,ABBV,1/10/18,0.71,99.69,99.37
28,ABBV,4/11/18,0.96,93.64,93.71
29,ABBV,7/11/18,0.96,94.96,94.92
30,ABBV,10/11/18,0.96,90.7,90.71
31,ABBV,1/11/19,1.07,88.31,86.97
32,ABBV,4/11/19,1.07,81.77,80.67
33,ABBV,7/11/19,1.07,71.24,70.3
34,ABBV,10/10/19,1.07,74.45,73.97
35,ABBV,10/11/19,1.07,73.63,73.65
36,ABBV,1/13/20,1.18,88.52,87.1
37,ABEV,6/23/17,0.049309,5.44,5.45
38,ABEV,12/18/17,0.093373,6.31,6.21
39,ABEV,1/31/18,0.021539,6.87,6.95
40,ABEV,6/15/18,0.042972,4.98,4.89
41,ABEV,12/18/18,0.081518,4.01,3.99
42,ABEV,12/19/19,0.120835,4.69,4.53
43,ABR,5/12/17,0.18,8.2,8.03
44,ABR,8/11/17,0.18,8.18,8
45,ABR,11/13/17,0.19,8.56,8.37
46,ABR,3/6/18,0.21,8.7,8.48
47,ABR,5/11/18,0.25,9.45,9.3
48,ABR,8/13/18,0.25,11.48,11.3
49,ABR,11/13/18,0.27,12.66,12.46
50,ABR,12/26/18,0.03,10.27,10.07
51,ABR,2/27/19,0.27,13.06,12.76
52,ABR,5/21/19,0.28,13.37,13.14
53,ABR,8/13/19,0.29,12.64,12.29
54,ABR,11/13/19,0.3,15.12,14.85
55,ABR,2/26/20,0.3,13.7,13.3
56,ACC,5/10/17,0.44,45.71,45.15
57,ACC,8/9/17,0.44,47.04,46.61
58,ACC,11/9/17,0.44,42.37,41.61
59,ACC,1/31/18,0.44,38.46,38.04
60,ACC,5/10/18,0.46,40.32,39.99
61,ACC,8/9/18,0.46,41.34,40.86
62,ACC,11/7/18,0.46,41.28,40.81
63,ACC,1/30/19,0.46,46.19,45.67
64,ACC,5/9/19,0.47,45.92,45.66
65,ACC,8/8/19,0.47,47.43,46.89
66,ACC,11/6/19,0.47,48.29,47.81
67,ACC,1/28/20,0.47,46.68,46.24
68,ACCO,2/27/18,0.06,13.1,13.15
69,ACCO,5/30/18,0.06,13.2,13.2
70,ACCO,8/29/18,0.06,12.4,12.3
71,ACCO,11/28/18,0.06,8.09,8.04
72,ACCO,3/13/19,0.06,8.97,8.9
73,ACCO,5/22/19,0.06,7.91,7.78
74,ACCO,8/21/19,0.06,9.72,9.7
75,ACCO,11/26/19,0.065,9.21,9.17
76,ACCO,3/16/20,0.065,4.85,4.83
77,ACGLO,12/13/17,0.507,25.62,25.8
78,ACGLO,3/13/18,0.341,24.77,24.53
79,ACGLO,6/13/18,0.341,24.7,24.43
80,ACGLO,9/12/18,0.341,24.39,24.16
81,ACGLO,12/12/18,0.341,21.36,21.25
82,ACGLO,3/13/19,0.341,23.83,23.78
83,ACGLO,6/12/19,0.341,24.92,24.59
84,ACGLO,9/11/19,0.341,25.94,25.71
85,ACGLO,12/11/19,0.341,25.67,25.36
86,ACGLO,3/11/20,0.341,25.51,23.45
87,ACGLP,6/12/17,0.328,24.13,23.9
88,ACGLP,9/13/17,0.328,24.92,24.68
89,ACGLP,12/13/17,0.328,25.18,25.22
90,ACGLP,3/13/18,0.328,24.36,24.27
91,ACGLP,6/13/18,0.328,24.39,24.2
92,ACGLP,9/12/18,0.328,23.82,23.63
93,ACGLP,12/12/18,0.328,20.71,20.6
94,ACGLP,3/13/19,0.328,23.15,23.15
95,ACGLP,6/12/19,0.328,24.16,23.95
96,ACGLP,9/11/19,0.328,25.31,25.11
97,ACGLP,12/11/19,0.328,25.29,25.1
98,ACGLP,3/11/20,0.328,25.11,24.64
99,ACP,4/10/17,0.11696,13.84,13.79
100,ACP,5/8/17,0.11696,13.88,13.78
101,ACP,6/7/17,0.11696,13.84,13.72
102,ACP,7/10/17,0.11696,13.8,13.7
103,ACP,8/8/17,0.11696,14.36,14.22
104,ACP,9/7/17,0.11696,14.25,14.16
105,ACP,10/10/17,0.11696,14.52,14.47
106,ACP,11/9/17,0.11696,13.65,13.55
107,ACP,12/7/17,0.11696,13.63,13.61
108,ACP,12/27/17,0.11696,13.74,13.65
109,ACP,2/15/18,0.11696,13.61,13.53
110,ACP,3/15/18,0.11696,13.68,13.64
111,ACP,4/18/18,0.11696,13.69,13.58
112,ACP,5/21/18,0.11696,13.86,13.82
113,ACP,6/19/18,0.11696,13.71,13.6
114,ACP,7/19/18,0.11696,13.56,13.41
115,ACP,8/16/18,0.11696,13.97,13.84
116,ACP,9/20/18,0.11696,14.01,13.94
117,ACP,10/17/18,0.11696,13.79,13.61
118,ACP,11/15/18,0.11696,12.58,12.46
119,ACP,12/27/18,0.11696,10.19,10.14
120,ACP,1/18/19,0.11696,11.2,11.08
121,ACP,2/19/19,0.11696,11.7,11.61
122,ACP,3/19/19,0.12,11.79,11.72
123,ACP,4/17/19,0.12,12.42,12.28
124,ACP,5/20/19,0.12,12.56,12.44
125,ACP,6/19/19,0.12,12.35,12.29
126,ACP,7/18/19,0.12,12.47,12.35
127,ACP,8/15/19,0.12,11.73,11.65
128,ACP,9/19/19,0.12,12.36,12.36
129,ACP,10/17/19,0.12,11.81,11.66
130,ACP,11/1/19,0.12,11.36,11.26
131,ACP,12/27/19,0.12,11.58,11.48
132,ACP,1/16/20,0.12,11.73,11.63
133,ACP,2/19/20,0.12,12.24,12.1
134,ACP,3/18/20,0.12,5.94,5.52
135,ACRE,6/27/17,0.27,13.42,13.29
136,ACRE,9/27/17,0.27,13.39,13.11
137,ACRE,12/27/17,0.27,13.34,13.15
138,ACRE,3/27/18,0.28,12.49,12.21
139,ACRE,6/27/18,0.28,13.86,13.57
140,ACRE,9/26/18,0.29,14.03,13.75
141,ACRE,12/26/18,0.31,13.34,12.88
142,ACRE,3/27/19,0.33,15.42,15.19
143,ACRE,6/26/19,0.33,14.9,14.77
144,ACRE,9/26/19,0.33,15.77,15.46
145,ACRE,12/26/19,0.33,16.32,15.92
146,ACRE,3/27/20,0.33,8.79,8.5
147,ACV,4/10/17,0.167,20.69,20.63
148,ACV,5/8/17,0.167,20.78,20.61
149,ACV,6/7/17,0.167,21.06,20.98
150,ACV,7/10/17,0.167,21.4,21.33
151,ACV,8/8/17,0.167,21.95,21.82
152,ACV,9/7/17,0.167,20.96,20.86
153,ACV,10/10/17,0.167,22.29,22.15
154,ACV,11/9/17,0.167,22.23,22
155,ACV,12/7/17,0.167,22.15,22.2
156,ACV,1/10/18,0.167,22.86,22.81
157,ACV,2/8/18,0.167,21.09,21.18
158,ACV,3/8/18,0.167,22.19,22.17
159,ACV,4/10/18,0.167,23.1,23.03
160,ACV,5/9/18,0.167,23.02,23.09
161,ACV,6/7/18,0.167,23.74,23.64
162,ACV,7/10/18,0.167,23.78,23.58
163,ACV,8/9/18,0.167,24.66,24.58
164,ACV,9/12/18,0.167,25.17,25.01
165,ACV,10/9/18,0.167,23.43,23.2
166,ACV,11/8/18,0.167,23.45,23.09
167,ACV,12/11/18,0.167,22.14,22.02
168,ACV,1/10/19,0.167,20.84,20.59
169,ACV,2/7/19,0.167,21.47,21.28
170,ACV,3/7/19,0.167,22.05,21.77
