,symbol,start_date,div_amount,start_price,end_price
0,AB,2014-05-07,0.39,24.42,24.03
1,AB,2014-08-06,0.45,26.31,25.95
2,AB,2014-10-29,0.45,26.45,25.99
3,AB,2015-02-18,0.57,27.49,26.97
4,AB,2015-05-06,0.45,31.53,31.25
5,AB,2015-08-05,0.48,28.38,27.89
6,AB,2015-10-28,0.43,26.71,26.36
7,AB,2016-02-17,0.5,19.0,18.74
8,AB,2016-05-04,0.4,23.05,22.69
9,AB,2016-08-03,0.4,21.99,21.5
10,AB,2016-11-02,0.45,21.3,20.95
11,AB,2017-02-21,0.67,24.7,24.0
12,AB,2017-05-03,0.46,21.45,20.9
13,AB,2017-08-02,0.49,24.8,24.1
14,AB,2017-11-02,0.51,26.05,25.65
15,AB,2018-02-21,0.84,27.85,27.2
16,AB,2018-05-03,0.73,26.9,26.5
17,AB,2018-08-02,0.62,28.3,27.7
18,AB,2018-11-01,0.69,29.16,28.75
19,AB,2019-02-21,0.64,30.47,29.61
20,AB,2019-05-02,0.49,29.5,29.01
21,AB,2019-08-01,0.56,29.41,28.91
22,AB,2019-10-31,0.63,29.36,28.86
23,AB,2020-02-20,0.85,35.82,34.75
24,ABBV,2014-04-10,0.42,47.35,46.58
25,ABBV,2014-07-10,0.42,55.79,55.34
26,ABBV,2014-10-09,0.42,56.72,55.99
27,ABBV,2015-01-12,0.49,65.76,65.72
28,ABBV,2015-04-10,0.51,62.0,61.81
29,ABBV,2015-07-10,0.51,69.23,69.42
30,ABBV,2015-10-12,0.51,55.77,55.17
31,ABBV,2016-01-12,0.57,54.84,54.55
32,ABBV,2016-04-12,0.57,59.89,59.87
33,ABBV,2016-07-12,0.57,65.5,64.81
34,ABBV,2016-10-11,0.57,62.39,62.0
35,ABBV,2017-01-10,0.64,64.07,63.38
36,ABBV,2017-04-10,0.64,64.97,64.43
37,ABBV,2017-07-11,0.64,71.84,71.51
38,ABBV,2017-10-11,0.64,92.38,91.77
39,ABBV,2018-01-10,0.71,99.69,99.37
40,ABBV,2018-04-11,0.96,93.64,93.71
41,ABBV,2018-07-11,0.96,94.96,94.92
42,ABBV,2018-10-11,0.96,90.7,90.71
43,ABBV,2019-01-11,1.07,88.31,86.97
44,ABBV,2019-04-11,1.07,81.77,80.67
45,ABBV,2019-07-11,1.07,71.24,70.3
